sensor_id,timestamp,pH,moisture,nitrogen,phosphorus,potassium
1,2024-01-17,7.8,72.85,18.19,10.54,7.37
1,2024-03-10,7.11,56.7,19.81,14.81,5.12
1,2024-03-11,5.9,59.8,19.08,7.01,6.73
2,2024-01-14,7.23,29.33,9.23,8.16,10.14
2,2024-03-28,6.9,35.84,12.33,18.58,17.69
2,2024-01-12,6.9,69.76,5.66,10.0,6.96
3,2024-02-03,5.48,46.51,15.59,13.41,6.68
3,2024-03-29,7.71,52.74,17.52,13.74,7.22
3,2024-01-17,5.13,41.88,19.0,19.58,5.6
4,2024-02-15,5.63,34.97,6.54,16.7,18.26
4,2024-02-22,7.92,64.97,18.89,8.55,7.44
4,2024-01-23,7.64,21.49,16.05,9.98,18.96
5,2024-03-26,7.59,68.64,9.0,16.81,6.62
5,2024-01-05,7.58,33.35,17.25,11.9,9.58
5,2024-01-30,5.67,59.6,10.98,9.18,6.04
6,2024-02-05,6.05,50.56,15.19,17.65,9.97
6,2024-01-04,5.35,78.22,7.68,19.44,8.98
6,2024-01-14,6.79,40.74,16.8,11.55,19.76
7,2024-01-15,6.16,54.6,8.82,15.63,5.03
7,2024-03-09,7.06,76.42,16.06,7.96,11.47
7,2024-03-26,7.76,57.39,14.95,6.87,18.5
8,2024-03-05,5.93,44.5,11.04,9.43,6.91
8,2024-02-23,6.99,42.75,16.22,7.61,13.54
8,2024-02-21,6.64,20.02,9.3,11.45,13.7
9,2024-03-24,5.97,46.51,15.13,12.67,16.91
9,2024-01-22,6.98,37.03,14.96,14.29,6.4
9,2024-01-31,7.02,33.48,7.99,5.37,8.67
10,2024-03-01,6.83,66.11,11.83,18.29,13.64
10,2024-03-30,6.15,43.98,7.21,15.31,18.39
10,2024-01-14,7.34,33.13,17.06,15.44,11.97
11,2024-03-12,5.75,70.9,11.85,17.02,15.01
11,2024-03-12,6.79,77.0,18.37,14.19,15.79
11,2024-03-05,6.28,74.41,11.69,7.39,17.92
12,2024-02-27,5.78,34.83,14.56,16.49,12.82
12,2024-03-21,5.72,46.39,15.7,8.52,10.04
12,2024-03-10,5.24,29.05,10.75,7.29,8.21
13,2024-02-23,6.22,52.56,11.24,8.1,11.3
13,2024-03-15,7.84,21.17,18.21,13.64,12.15
13,2024-02-15,5.9,43.4,18.37,17.54,13.07
14,2024-03-10,7.4,73.87,12.32,9.09,12.28
14,2024-02-19,6.01,60.75,11.06,7.48,12.01
14,2024-01-17,7.94,52.05,18.6,13.88,14.94
15,2024-01-11,6.93,28.14,11.93,5.75,10.69
15,2024-01-28,6.36,40.25,18.19,9.17,19.27
15,2024-02-23,5.76,24.91,5.29,13.09,20.0
16,2024-02-14,5.67,24.12,19.36,5.6,5.47
16,2024-02-01,5.6,21.22,7.29,6.89,15.04
16,2024-03-13,7.84,47.9,8.84,10.53,14.09
17,2024-01-15,7.33,29.83,9.67,13.68,18.93
17,2024-03-14,7.03,77.49,10.95,15.73,6.14
17,2024-03-29,7.49,34.57,15.46,9.52,15.26
18,2024-01-16,7.39,53.96,5.62,12.99,14.92
18,2024-01-09,6.52,40.47,17.74,17.33,6.58
18,2024-02-16,6.91,69.72,15.61,11.53,16.01
19,2024-03-24,5.81,68.49,13.07,12.25,11.53
19,2024-03-16,5.81,71.1,17.46,6.3,18.22
19,2024-02-01,7.25,54.19,15.02,10.05,12.41
20,2024-02-11,5.55,32.73,16.97,10.11,18.2
20,2024-03-30,7.64,53.35,12.75,7.87,8.62
20,2024-02-22,6.47,65.49,15.36,14.69,12.36
21,2024-01-03,5.28,33.3,15.38,9.59,13.72
21,2024-03-01,6.66,40.63,19.95,13.26,10.28
21,2024-02-28,5.81,35.08,6.81,7.89,6.79
22,2024-03-09,7.85,61.41,7.87,16.08,9.15
22,2024-03-16,7.93,51.48,9.24,6.51,7.91
22,2024-01-30,6.08,38.14,15.62,6.9,5.68
23,2024-01-07,6.66,61.85,6.89,18.03,12.36
23,2024-01-02,6.72,48.16,11.61,7.77,5.77
23,2024-03-02,5.34,23.92,12.38,13.66,15.3
24,2024-01-20,5.45,53.77,9.56,19.91,6.78
24,2024-02-23,6.82,67.44,8.39,12.84,11.76
24,2024-02-26,5.89,55.31,11.43,13.53,5.9
25,2024-01-13,7.84,32.47,8.17,14.91,7.36
25,2024-01-23,6.66,29.39,11.13,15.34,12.05
25,2024-01-05,5.69,62.42,15.54,11.81,15.31
26,2024-02-03,7.36,57.5,14.92,19.01,11.38
26,2024-03-10,5.67,28.94,8.98,7.13,5.89
26,2024-02-09,6.79,69.45,18.82,11.59,12.03
27,2024-02-08,7.1,76.56,12.51,12.41,6.21
27,2024-01-06,7.67,64.07,14.06,5.39,8.43
27,2024-03-27,7.51,54.51,19.26,19.99,15.08
28,2024-02-04,6.73,65.79,7.63,12.78,11.63
28,2024-02-05,5.54,55.12,14.52,12.38,6.37
28,2024-02-14,6.23,39.26,6.57,7.41,11.17
29,2024-03-04,5.86,76.71,17.2,13.25,11.82
29,2024-02-10,5.76,26.96,16.59,17.97,17.37
29,2024-01-01,6.97,52.56,11.2,7.81,10.43
30,2024-03-04,6.88,65.6,8.05,13.24,18.92
30,2024-02-26,7.64,49.08,5.43,14.45,16.99
30,2024-03-31,5.48,53.05,13.28,6.4,19.88
31,2024-01-15,6.38,27.05,17.48,12.48,15.75
31,2024-03-06,7.12,44.93,12.24,12.08,11.85
31,2024-01-19,6.15,75.31,12.62,18.19,17.96
32,2024-02-05,7.32,71.26,10.1,16.82,9.01
32,2024-01-01,5.85,37.91,13.8,19.98,12.34
32,2024-01-20,6.34,49.06,9.99,16.44,10.66
33,2024-02-11,7.61,78.85,8.58,10.74,17.84
33,2024-02-22,5.13,64.68,15.58,17.17,10.79
33,2024-03-25,7.38,59.12,7.28,19.47,6.89
34,2024-03-16,6.0,26.02,17.68,6.5,18.66
34,2024-01-02,7.17,44.6,14.82,7.32,12.04
34,2024-02-03,6.02,61.56,14.75,17.78,17.79
35,2024-03-09,6.14,39.0,15.78,16.39,18.09
35,2024-01-05,6.85,34.09,15.27,9.31,8.41
35,2024-01-12,6.3,25.91,14.51,18.09,11.66
36,2024-03-29,5.9,21.74,9.87,5.84,10.38
36,2024-02-25,5.44,51.87,13.49,16.89,7.55
36,2024-01-11,6.83,42.95,15.25,12.47,13.75
37,2024-01-30,6.38,35.24,8.83,5.14,17.07
37,2024-02-06,7.03,29.48,11.63,10.18,13.81
37,2024-03-22,7.89,61.42,11.85,9.53,19.99
